email_text,category,urgency
The delivery of my smartwatch was faster than expected.,feedback,low
Can you enable notifications on my account?,request,medium
Can you enable analytics on my account?,request,medium
Can you schedule a technician visit for this weekend?,request,medium
Kindly help me reset my PIN.,request,low
"Great job on the new analytics, it works very well.",feedback,low
Your service quality has improved recently.,feedback,low
The app keeps disconnecting every two hours.,complaint,high
Your service quality has improved recently.,feedback,low
"Your payment method is outdated, update to avoid suspension.",spam,low
"Great job on the new auto-sync, it works very well.",feedback,low
I want to change my registered address.,request,medium
"Your payment method is outdated, update to avoid suspension.",spam,low
The router I received is damaged. I need a replacement.,complaint,high
I want to change my registered address.,request,low
Can you schedule a technician visit for this weekend?,request,low
"Great job on the new notifications, it works very well.",feedback,low
Earn huge money by joining our program.,spam,low
You have an unclaimed cashback. Click to activate.,spam,low
"Great job on the new notifications, it works very well.",feedback,low
Congratulations! You won a free voucher. Click here.,spam,low
Your support team handled my case professionally.,feedback,low
You have an unclaimed cashback. Click to activate.,spam,low
I appreciate the clean and simple interface.,feedback,low
Please update my address in your records.,request,low
You have an unclaimed cashback. Click to activate.,spam,low
"Your payment method is outdated, update to avoid suspension.",spam,low
You have an unclaimed cashback. Click to activate.,spam,low
I appreciate the clean and simple navigation panel.,feedback,low
Please resend the verification mail.,request,low
Your support team handled my case professionally.,feedback,low
Your support team handled my case professionally.,feedback,low
Your support team handled my case professionally.,feedback,low
Thank you for resolving my issue quickly.,feedback,low
Can you schedule a technician visit for next Monday?,request,low
The delivery of my smartwatch was faster than expected.,feedback,low
I appreciate the clean and simple navigation panel.,feedback,low
Your recent update broke the analytics feature.,complaint,high
The smartwatch I received is damaged. I need a replacement.,complaint,medium
The delivery of my smartwatch was faster than expected.,feedback,low
Win a Dubai trip. Register immediately.,spam,low
My account shows wrong email ID. Kindly correct it.,complaint,low
Can you schedule a technician visit for next Monday?,request,medium
My account shows wrong mobile number. Kindly correct it.,complaint,low
My account shows wrong address. Kindly correct it.,complaint,medium
Kindly help me reset my login code.,request,low
Kindly help me reset my PIN.,request,low
Can you enable auto-sync on my account?,request,medium
Can you enable auto-sync on my account?,request,low
My app has not been working since two days. Please fix this immediately.,complaint,high
Please update my address in your records.,request,low
You have an unclaimed cashback. Click to activate.,spam,low
Please resend the receipt.,request,medium
My mobile network has not been working since two days. Please fix this immediately.,complaint,medium
"Your payment method is outdated, update to avoid suspension.",spam,low
The internet keeps disconnecting every hour.,complaint,low
I was charged incorrectly for my recent subscription.,complaint,low
Can you schedule a technician visit for tomorrow?,request,medium
Your support team handled my case professionally.,feedback,low
"Your payment method is outdated, update to avoid suspension.",spam,low
Claim your premium reward instantly!,spam,low
Your support team has not responded to my ticket for last night.,complaint,high
Please resend the verification mail.,request,medium
Your service quality has improved recently.,feedback,low
I appreciate the clean and simple interface.,feedback,low
Please update my mobile number in your records.,request,medium
Your service quality has improved recently.,feedback,low
Please update my mobile number in your records.,request,medium
Please update my address in your records.,request,medium
Your support team handled my case professionally.,feedback,low
"Great job on the new analytics, it works very well.",feedback,low
Earn huge money by joining our program.,spam,low
Can you schedule a technician visit for next Monday?,request,low
My broadband has not been working since morning. Please fix this immediately.,complaint,medium
Can you enable analytics on my account?,request,low
I was charged incorrectly for my recent subscription.,complaint,high
Please resend the invoice.,request,medium
Your support team has not responded to my ticket for last night.,complaint,low
I want to change my registered mobile number.,request,low
The delivery of my laptop was faster than expected.,feedback,low
I appreciate the clean and simple navigation panel.,feedback,low
Please update my address in your records.,request,low
Your service quality has improved recently.,feedback,low
I appreciate the clean and simple navigation panel.,feedback,low
The delivery of my smartwatch was faster than expected.,feedback,low
Your service quality has improved recently.,feedback,low
Kindly help me reset my password.,request,low
I was charged incorrectly for my recent order.,complaint,low
Win a Singapore trip. Register immediately.,spam,low
"Your payment method is outdated, update to avoid suspension.",spam,low
The mobile network keeps disconnecting every two hours.,complaint,medium
Kindly help me reset my password.,request,low
The smartwatch I received is damaged. I need a replacement.,complaint,high
The delivery for my phone case is delayed again.,complaint,medium
Your support team handled my case professionally.,feedback,low
Your support team handled my case professionally.,feedback,low
Thank you for resolving my issue quickly.,feedback,low
Please update my email ID in your records.,request,medium
The mobile network keeps disconnecting every few minutes.,complaint,medium
Claim your premium reward instantly!,spam,low
The smartwatch I received is damaged. I need a replacement.,complaint,medium
Earn huge money by joining our program.,spam,low
My account shows wrong mobile number. Kindly correct it.,complaint,high
Your support team handled my case professionally.,feedback,low
"Your account will be blocked soon, verify now.",spam,low
Your service quality has improved recently.,feedback,low
Your support team has not responded to my ticket for last night.,complaint,low
The delivery for my smartwatch is delayed again.,complaint,medium
I want to know the status of my service request.,request,low
Please update my mobile number in your records.,request,medium
The delivery of my router was faster than expected.,feedback,low
Kindly help me reset my PIN.,request,medium
I was charged incorrectly for my recent order.,complaint,medium
I want to know the status of my refund request.,request,low
I want to know the status of my service request.,request,medium
Your support team handled my case professionally.,feedback,low
The router I received is damaged. I need a replacement.,complaint,medium
The delivery for my book is delayed again.,complaint,high
The delivery of my smartwatch was faster than expected.,feedback,low
You have an unclaimed cashback. Click to activate.,spam,low
Win a Thailand trip. Register immediately.,spam,low
Win a Thailand trip. Register immediately.,spam,low
I want to change my registered email ID.,request,low
Please resend the receipt.,request,low
Can you schedule a technician visit for next Monday?,request,low
I want to change my registered mobile number.,request,low
Thank you for resolving my issue quickly.,feedback,low
Can you schedule a technician visit for this weekend?,request,medium
Your recent update broke the auto-sync feature.,complaint,low
The mobile network keeps disconnecting every few minutes.,complaint,medium
I appreciate the clean and simple navigation panel.,feedback,low
Can you schedule a technician visit for this weekend?,request,medium
Your recent update broke the analytics feature.,complaint,low
You have an unclaimed cashback. Click to activate.,spam,low
I want to change my registered email ID.,request,low
I appreciate the clean and simple dashboard.,feedback,low
Your service quality has improved recently.,feedback,low
Your support team handled my case professionally.,feedback,low
Can you enable auto-sync on my account?,request,low
"Your account will be blocked soon, verify now.",spam,low
The dashboard keeps disconnecting every two hours.,complaint,high
The mobile network keeps disconnecting every few minutes.,complaint,high
Your service quality has improved recently.,feedback,low
The router I received is damaged. I need a replacement.,complaint,high
The delivery for my laptop is delayed again.,complaint,high
Your support team handled my case professionally.,feedback,low
Thank you for resolving my issue quickly.,feedback,low
You have an unclaimed cashback. Click to activate.,spam,low
My internet has not been working since two days. Please fix this immediately.,complaint,low
I want to change my registered mobile number.,request,medium
Earn huge money by joining our program.,spam,low
"Your account will be blocked soon, verify now.",spam,low
"Your payment method is outdated, update to avoid suspension.",spam,low
"Your account will be blocked soon, verify now.",spam,low
My dashboard has not been working since morning. Please fix this immediately.,complaint,medium
Earn huge money by joining our program.,spam,low
I want to know the status of my refund request.,request,low
Your support team handled my case professionally.,feedback,low
Your service quality has improved recently.,feedback,low
"Your account will be blocked soon, verify now.",spam,low
I want to know the status of my service request.,request,medium
Claim your premium reward instantly!,spam,low
I appreciate the clean and simple dashboard.,feedback,low
Win a Dubai trip. Register immediately.,spam,low
Your service quality has improved recently.,feedback,low
Kindly help me reset my password.,request,low
Please update my email ID in your records.,request,medium
The delivery for my laptop is delayed again.,complaint,high
Can you enable notifications on my account?,request,medium
Your support team handled my case professionally.,feedback,low
Your support team handled my case professionally.,feedback,low
Claim your exclusive reward instantly!,spam,low
Earn huge money by joining our program.,spam,low
I want to know the status of my replacement request.,request,medium
My account shows wrong mobile number. Kindly correct it.,complaint,low
The delivery of my router was faster than expected.,feedback,low
The delivery for my smartwatch is delayed again.,complaint,low
I want to change my registered address.,request,low
Congratulations! You won a free gift card. Click here.,spam,low
"Your payment method is outdated, update to avoid suspension.",spam,low
I was charged incorrectly for my recent order.,complaint,high
"Your account will be blocked soon, verify now.",spam,low
Thank you for resolving my issue quickly.,feedback,low
"Your account will be blocked soon, verify now.",spam,low
"Your payment method is outdated, update to avoid suspension.",spam,low
Please resend the invoice.,request,low
Earn huge money by joining our program.,spam,low
Congratulations! You won a free iPhone. Click here.,spam,low
My account shows wrong mobile number. Kindly correct it.,complaint,high
Can you schedule a technician visit for this weekend?,request,medium
I was charged incorrectly for my recent payment.,complaint,high
"Your payment method is outdated, update to avoid suspension.",spam,low
Your service quality has improved recently.,feedback,low
Please update my address in your records.,request,medium
Your service quality has improved recently.,feedback,low
Kindly help me reset my password.,request,medium
Your support team has not responded to my ticket for morning.,complaint,low
Kindly help me reset my password.,request,low
I was charged incorrectly for my recent order.,complaint,medium
"Your account will be blocked soon, verify now.",spam,low
You have an unclaimed cashback. Click to activate.,spam,low
The delivery of my smartwatch was faster than expected.,feedback,low
Thank you for resolving my issue quickly.,feedback,low
Can you enable notifications on my account?,request,low
I want to change my registered mobile number.,request,low
Win a Dubai trip. Register immediately.,spam,low
Your recent update broke the billing feature.,complaint,low
I want to change my registered email ID.,request,low
Please update my mobile number in your records.,request,medium
Your support team has not responded to my ticket for yesterday.,complaint,low
Can you schedule a technician visit for tomorrow?,request,low
Please update my mobile number in your records.,request,medium
Your service quality has improved recently.,feedback,low
Earn huge money by joining our program.,spam,low
My account shows wrong email ID. Kindly correct it.,complaint,high
Kindly help me reset my PIN.,request,low
I appreciate the clean and simple interface.,feedback,low
Your support team has not responded to my ticket for morning.,complaint,high
Can you enable analytics on my account?,request,medium
Please update my address in your records.,request,medium
Your service quality has improved recently.,feedback,low
Please resend the receipt.,request,low
Your recent update broke the notifications feature.,complaint,high
The router I received is damaged. I need a replacement.,complaint,medium
I appreciate the clean and simple navigation panel.,feedback,low
"Your account will be blocked soon, verify now.",spam,low
Kindly help me reset my PIN.,request,medium
"Great job on the new auto-sync, it works very well.",feedback,low
I want to change my registered mobile number.,request,medium
I appreciate the clean and simple dashboard.,feedback,low
Your support team has not responded to my ticket for last night.,complaint,low
My mobile network has not been working since morning. Please fix this immediately.,complaint,low
Win a Thailand trip. Register immediately.,spam,low
The mobile network keeps disconnecting every two hours.,complaint,low
Please resend the invoice.,request,medium
Congratulations! You won a free gift card. Click here.,spam,low
I want to change my registered email ID.,request,medium
My mobile network has not been working since two days. Please fix this immediately.,complaint,medium
You have an unclaimed cashback. Click to activate.,spam,low
Can you enable notifications on my account?,request,medium
You have an unclaimed cashback. Click to activate.,spam,low
My account shows wrong email ID. Kindly correct it.,complaint,low
Your recent update broke the notifications feature.,complaint,high
Claim your limited reward instantly!,spam,low
Please resend the verification mail.,request,medium
The delivery for my router is delayed again.,complaint,low
I was charged incorrectly for my recent payment.,complaint,medium
I want to know the status of my service request.,request,medium
The delivery of my phone case was faster than expected.,feedback,low
The delivery of my router was faster than expected.,feedback,low
"Your account will be blocked soon, verify now.",spam,low
I want to change my registered mobile number.,request,low
I want to change my registered mobile number.,request,medium
Please update my address in your records.,request,medium
"Your account will be blocked soon, verify now.",spam,low
My account shows wrong email ID. Kindly correct it.,complaint,low
Your service quality has improved recently.,feedback,low
My account shows wrong email ID. Kindly correct it.,complaint,high
I want to change my registered mobile number.,request,medium
Earn huge money by joining our program.,spam,low
Can you schedule a technician visit for tomorrow?,request,medium
My account shows wrong email ID. Kindly correct it.,complaint,medium
Kindly help me reset my PIN.,request,medium
Your support team has not responded to my ticket for last night.,complaint,medium
"Great job on the new auto-sync, it works very well.",feedback,low
Claim your limited reward instantly!,spam,low
Win a Dubai trip. Register immediately.,spam,low
I appreciate the clean and simple dashboard.,feedback,low
You have an unclaimed cashback. Click to activate.,spam,low
Win a Thailand trip. Register immediately.,spam,low
"Your payment method is outdated, update to avoid suspension.",spam,low
Can you schedule a technician visit for this weekend?,request,low
I want to change my registered address.,request,medium
Your support team has not responded to my ticket for two days.,complaint,high
I appreciate the clean and simple interface.,feedback,low
My broadband has not been working since morning. Please fix this immediately.,complaint,high
The delivery for my router is delayed again.,complaint,high
Win a Thailand trip. Register immediately.,spam,low
Win a Thailand trip. Register immediately.,spam,low
Can you schedule a technician visit for next Monday?,request,low
Please resend the verification mail.,request,medium
"Great job on the new notifications, it works very well.",feedback,low
Thank you for resolving my issue quickly.,feedback,low
Your service quality has improved recently.,feedback,low
The delivery for my phone case is delayed again.,complaint,high
Please update my email ID in your records.,request,low
Your recent update broke the auto-sync feature.,complaint,medium
I appreciate the clean and simple dashboard.,feedback,low
Can you enable analytics on my account?,request,medium
I appreciate the clean and simple dashboard.,feedback,low
The router I received is damaged. I need a replacement.,complaint,medium
"Your account will be blocked soon, verify now.",spam,low
My app has not been working since two days. Please fix this immediately.,complaint,high
Your recent update broke the analytics feature.,complaint,medium
Congratulations! You won a free gift card. Click here.,spam,low
Win a Singapore trip. Register immediately.,spam,low
My broadband has not been working since two days. Please fix this immediately.,complaint,high
Your support team handled my case professionally.,feedback,low
"Great job on the new notifications, it works very well.",feedback,low
I appreciate the clean and simple navigation panel.,feedback,low
Your support team handled my case professionally.,feedback,low
You have an unclaimed cashback. Click to activate.,spam,low
Can you enable billing on my account?,request,low
Can you enable billing on my account?,request,low
Claim your premium reward instantly!,spam,low
Please update my address in your records.,request,medium
My dashboard has not been working since two days. Please fix this immediately.,complaint,high
Claim your limited reward instantly!,spam,low
The smartwatch I received is damaged. I need a replacement.,complaint,low
Please update my mobile number in your records.,request,medium
Can you enable analytics on my account?,request,medium
Can you enable analytics on my account?,request,medium
Can you enable auto-sync on my account?,request,medium
Your support team handled my case professionally.,feedback,low
You have an unclaimed cashback. Click to activate.,spam,low
"Your payment method is outdated, update to avoid suspension.",spam,low
Win a Thailand trip. Register immediately.,spam,low
Kindly help me reset my password.,request,medium
"Your payment method is outdated, update to avoid suspension.",spam,low
Can you schedule a technician visit for tomorrow?,request,low
"Great job on the new billing, it works very well.",feedback,low
Thank you for resolving my issue quickly.,feedback,low
The delivery of my router was faster than expected.,feedback,low
I want to change my registered address.,request,medium
Win a Dubai trip. Register immediately.,spam,low
Please update my mobile number in your records.,request,medium
My account shows wrong address. Kindly correct it.,complaint,high
Can you schedule a technician visit for this weekend?,request,medium
Can you enable billing on my account?,request,low
Your support team has not responded to my ticket for yesterday.,complaint,low
The mobile network keeps disconnecting every two hours.,complaint,medium
I appreciate the clean and simple dashboard.,feedback,low
Can you enable billing on my account?,request,medium
Your service quality has improved recently.,feedback,low
Your service quality has improved recently.,feedback,low
I want to change my registered address.,request,low
The delivery for my book is delayed again.,complaint,low
Your recent update broke the notifications feature.,complaint,medium
Congratulations! You won a free voucher. Click here.,spam,low
"Great job on the new analytics, it works very well.",feedback,low
"Great job on the new billing, it works very well.",feedback,low
Your support team handled my case professionally.,feedback,low
"Your payment method is outdated, update to avoid suspension.",spam,low
Win a Singapore trip. Register immediately.,spam,low
Your support team handled my case professionally.,feedback,low
I want to know the status of my service request.,request,low
I appreciate the clean and simple interface.,feedback,low
Your support team has not responded to my ticket for morning.,complaint,low
"Great job on the new notifications, it works very well.",feedback,low
Thank you for resolving my issue quickly.,feedback,low
The router I received is damaged. I need a replacement.,complaint,low
Can you schedule a technician visit for this weekend?,request,low
Your support team handled my case professionally.,feedback,low
"Great job on the new notifications, it works very well.",feedback,low
Please update my mobile number in your records.,request,low
I want to change my registered mobile number.,request,low
Thank you for resolving my issue quickly.,feedback,low
Please resend the invoice.,request,low
Your support team handled my case professionally.,feedback,low
"Your account will be blocked soon, verify now.",spam,low
Congratulations! You won a free iPhone. Click here.,spam,low
You have an unclaimed cashback. Click to activate.,spam,low
Claim your premium reward instantly!,spam,low
Can you schedule a technician visit for tomorrow?,request,medium
"Great job on the new billing, it works very well.",feedback,low
"Great job on the new billing, it works very well.",feedback,low
Your support team handled my case professionally.,feedback,low
I appreciate the clean and simple interface.,feedback,low
Please update my email ID in your records.,request,medium
I appreciate the clean and simple interface.,feedback,low
Win a Dubai trip. Register immediately.,spam,low
Claim your limited reward instantly!,spam,low
Please update my mobile number in your records.,request,low
I want to know the status of my replacement request.,request,low
Your service quality has improved recently.,feedback,low
Kindly help me reset my PIN.,request,low
Your recent update broke the auto-sync feature.,complaint,low
I want to change my registered address.,request,medium
The delivery for my router is delayed again.,complaint,high
I was charged incorrectly for my recent order.,complaint,medium
Win a Singapore trip. Register immediately.,spam,low
Claim your exclusive reward instantly!,spam,low
I was charged incorrectly for my recent subscription.,complaint,medium
I want to know the status of my refund request.,request,low
"Great job on the new auto-sync, it works very well.",feedback,low
Claim your limited reward instantly!,spam,low
My dashboard has not been working since two days. Please fix this immediately.,complaint,high
I was charged incorrectly for my recent order.,complaint,low
Your recent update broke the billing feature.,complaint,high
You have an unclaimed cashback. Click to activate.,spam,low
The laptop I received is damaged. I need a replacement.,complaint,high
"Your payment method is outdated, update to avoid suspension.",spam,low
I want to change my registered mobile number.,request,medium
The delivery for my smartwatch is delayed again.,complaint,low
Please resend the invoice.,request,medium
Can you schedule a technician visit for next Monday?,request,medium
The laptop I received is damaged. I need a replacement.,complaint,high
My dashboard has not been working since morning. Please fix this immediately.,complaint,medium
Your support team has not responded to my ticket for two days.,complaint,low
